,book_name,star_rating,price,categories,stock_availability
0,A Light in the Attic,Three,£51.77,travel,In stock
1,Tipping the Velvet,One,£53.74,travel,In stock
2,Soumission,One,£50.10,travel,In stock
3,Sharp Objects,Four,£47.82,travel,In stock
4,Sapiens: A Brief History of Humankind,Five,£54.23,travel,In stock
5,The Requiem Red,One,£22.65,travel,In stock
6,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,travel,In stock
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,travel,In stock
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,travel,In stock
9,The Black Maria,One,£52.15,travel,In stock
10,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,travel,In stock
11,Shakespeare's Sonnets,Four,£20.66,travel,In stock
12,Set Me Free,Five,£17.46,travel,In stock
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,travel,In stock
14,Rip it Up and Start Again,Five,£35.02,travel,In stock
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,travel,In stock
16,Olio,One,£23.88,travel,In stock
17,Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,travel,In stock
18,Libertarianism for Beginners,Two,£51.33,travel,In stock
19,It's Only the Himalayas,Two,£45.17,travel,In stock
20,A Light in the Attic,Three,£51.77,mystery,In stock
21,Tipping the Velvet,One,£53.74,mystery,In stock
22,Soumission,One,£50.10,mystery,In stock
23,Sharp Objects,Four,£47.82,mystery,In stock
24,Sapiens: A Brief History of Humankind,Five,£54.23,mystery,In stock
25,The Requiem Red,One,£22.65,mystery,In stock
26,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,mystery,In stock
27,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,mystery,In stock
28,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,mystery,In stock
29,The Black Maria,One,£52.15,mystery,In stock
30,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,mystery,In stock
31,Shakespeare's Sonnets,Four,£20.66,mystery,In stock
32,Set Me Free,Five,£17.46,mystery,In stock
33,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,mystery,In stock
34,Rip it Up and Start Again,Five,£35.02,mystery,In stock
35,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,mystery,In stock
36,Olio,One,£23.88,mystery,In stock
37,Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,mystery,In stock
38,Libertarianism for Beginners,Two,£51.33,mystery,In stock
39,It's Only the Himalayas,Two,£45.17,mystery,In stock
40,A Light in the Attic,Three,£51.77,mystery,In stock
41,Tipping the Velvet,One,£53.74,mystery,In stock
42,Soumission,One,£50.10,mystery,In stock
43,Sharp Objects,Four,£47.82,mystery,In stock
44,Sapiens: A Brief History of Humankind,Five,£54.23,mystery,In stock
45,The Requiem Red,One,£22.65,mystery,In stock
46,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,mystery,In stock
47,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,mystery,In stock
48,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,mystery,In stock
49,The Black Maria,One,£52.15,mystery,In stock
50,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,mystery,In stock
51,Shakespeare's Sonnets,Four,£20.66,mystery,In stock
52,Set Me Free,Five,£17.46,mystery,In stock
53,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,mystery,In stock
54,Rip it Up and Start Again,Five,£35.02,mystery,In stock
55,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,mystery,In stock
56,Olio,One,£23.88,mystery,In stock
57,Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,mystery,In stock
58,Libertarianism for Beginners,Two,£51.33,mystery,In stock
59,It's Only the Himalayas,Two,£45.17,mystery,In stock
60,A Light in the Attic,Three,£51.77,historical-fiction,In stock
61,Tipping the Velvet,One,£53.74,historical-fiction,In stock
62,Soumission,One,£50.10,historical-fiction,In stock
63,Sharp Objects,Four,£47.82,historical-fiction,In stock
64,Sapiens: A Brief History of Humankind,Five,£54.23,historical-fiction,In stock
65,The Requiem Red,One,£22.65,historical-fiction,In stock
66,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,historical-fiction,In stock
67,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,historical-fiction,In stock
68,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,historical-fiction,In stock
69,The Black Maria,One,£52.15,historical-fiction,In stock
70,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,historical-fiction,In stock
71,Shakespeare's Sonnets,Four,£20.66,historical-fiction,In stock
72,Set Me Free,Five,£17.46,historical-fiction,In stock
73,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,historical-fiction,In stock
74,Rip it Up and Start Again,Five,£35.02,historical-fiction,In stock
75,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,historical-fiction,In stock
76,Olio,One,£23.88,historical-fiction,In stock
77,Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,historical-fiction,In stock
78,Libertarianism for Beginners,Two,£51.33,historical-fiction,In stock
79,It's Only the Himalayas,Two,£45.17,historical-fiction,In stock
80,A Light in the Attic,Three,£51.77,historical-fiction,In stock
81,Tipping the Velvet,One,£53.74,historical-fiction,In stock
82,Soumission,One,£50.10,historical-fiction,In stock
83,Sharp Objects,Four,£47.82,historical-fiction,In stock
84,Sapiens: A Brief History of Humankind,Five,£54.23,historical-fiction,In stock
85,The Requiem Red,One,£22.65,historical-fiction,In stock
86,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,historical-fiction,In stock
87,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,historical-fiction,In stock
88,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,historical-fiction,In stock
89,The Black Maria,One,£52.15,historical-fiction,In stock
90,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,historical-fiction,In stock
91,Shakespeare's Sonnets,Four,£20.66,historical-fiction,In stock
92,Set Me Free,Five,£17.46,historical-fiction,In stock
93,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,historical-fiction,In stock
94,Rip it Up and Start Again,Five,£35.02,historical-fiction,In stock
95,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,historical-fiction,In stock
96,Olio,One,£23.88,historical-fiction,In stock
97,Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,historical-fiction,In stock
98,Libertarianism for Beginners,Two,£51.33,historical-fiction,In stock
99,It's Only the Himalayas,Two,£45.17,historical-fiction,In stock
100,A Light in the Attic,Three,£51.77,sequential-art,In stock
101,Tipping the Velvet,One,£53.74,sequential-art,In stock
102,Soumission,One,£50.10,sequential-art,In stock
103,Sharp Objects,Four,£47.82,sequential-art,In stock
104,Sapiens: A Brief History of Humankind,Five,£54.23,sequential-art,In stock
105,The Requiem Red,One,£22.65,sequential-art,In stock
106,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,sequential-art,In stock
107,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,sequential-art,In stock
108,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,sequential-art,In stock
109,The Black Maria,One,£52.15,sequential-art,In stock
110,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,sequential-art,In stock
111,Shakespeare's Sonnets,Four,£20.66,sequential-art,In stock
112,Set Me Free,Five,£17.46,sequential-art,In stock
113,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,sequential-art,In stock
114,Rip it Up and Start Again,Five,£35.02,sequential-art,In stock
115,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,sequential-art,In stock
116,Olio,One,£23.88,sequential-art,In stock
117,Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,sequential-art,In stock
118,Libertarianism for Beginners,Two,£51.33,sequential-art,In stock
119,It's Only the Himalayas,Two,£45.17,sequential-art,In stock
120,A Light in the Attic,Three,£51.77,sequential-art,In stock
121,Tipping the Velvet,One,£53.74,sequential-art,In stock
122,Soumission,One,£50.10,sequential-art,In stock
123,Sharp Objects,Four,£47.82,sequential-art,In stock
124,Sapiens: A Brief History of Humankind,Five,£54.23,sequential-art,In stock
125,The Requiem Red,One,£22.65,sequential-art,In stock
126,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,sequential-art,In stock
127,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,sequential-art,In stock
